Date;parties1_created_at;parties1_status_id;parties2_created_at;parties2_status_id;candidates1_created_at;candidates1_status_id;candidates2_created_at;candidates2_status_id
2022-01-08;2022-01-08T15:42:09Z;1479840858686033928;2022-01-08T15:59:41Z;1479845272876457987;2022-01-08T16:16:05Z;1479849398410653697;2022-01-08T17:38:33Z;1479870151684145156
2022-01-04;2022-01-04T19:28:55Z;1478448374705799177;2022-01-04T19:43:07Z;1478451950559576067;2022-01-04T20:00:16Z;1478456262769659906;2022-01-04T20:36:32Z;1478465390988644356
2022-01-02;2022-01-02T21:45:31Z;1477757977029492746;2022-01-02T22:01:20Z;1477761956039725056;2022-01-02T22:17:40Z;1477766064721305601;2022-01-02T22:51:38Z;1477774616298934272
2021-12-31;2021-12-31T13:35:47Z;1476909953432657925;2021-12-31T14:07:27Z;1476917922362793987;2021-12-31T14:24:34Z;1476922233259974668;2021-12-31T19:42:50Z;1477002325906628611
2021-12-23;2021-12-23T16:37:51Z;1474056670745702400;2021-12-23T16:54:02Z;1474060743070949379;2021-12-23T17:10:40Z;1474064929518866451;2021-12-23T19:50:27Z;1474105139405672448
2021-12-20;2021-12-20T14:57:14Z;1472944184977985545;2021-12-20T15:12:57Z;1472948139422269442;2021-12-20T15:29:49Z;1472952387413450759;2021-12-20T17:32:12Z;1472983184778407946
2021-12-16;2021-12-16T15:59:32Z;1471510312247566336;2021-12-16T16:32:47Z;1471518678948720644;2021-12-16T16:50:15Z;1471523076278005760;2021-12-16T18:32:11Z;1471548730126000135
2021-12-16;2021-12-16T15:59:32Z;1471510312247566336;2021-12-16T16:32:47Z;1471518678948720644;2021-12-16T16:50:15Z;1471523076278005760;2021-12-16T18:32:11Z;1471548729266212878
2021-12-13;2021-12-13T20:09:33Z;1470486068835368967;2021-12-13T20:25:32Z;1470490091416076298;2021-12-13T20:41:17Z;1470494053393391616;2021-12-13T21:16:20Z;1470502874299916302
2021-12-12;2021-12-12T16:43:52Z;1470071919894540292;2021-12-12T17:01:48Z;1470076431573164035;2021-12-12T18:29:37Z;1470098529976832003;2021-12-12T21:15:19Z;1470140229776519179
2021-12-10;2021-12-10T15:00:15Z;1469321068062158848;2021-12-10T15:15:50Z;1469324986846437376;2021-12-10T15:31:23Z;1469328902199906311;2021-12-10T16:44:53Z;1469347399877419010
2021-12-08;2021-12-08T16:08:06Z;1468613367199899657;2021-12-08T16:24:05Z;1468617388493058050;2021-12-08T16:39:46Z;1468621334716600324;2021-12-08T17:14:21Z;1468630039214264321
2021-12-07;2021-12-07T15:15:16Z;1468237682090422274;2021-12-07T15:30:43Z;1468241570944241665;2021-12-07T15:46:50Z;1468245626110500874;2021-12-07T16:21:54Z;1468254452230631435
2021-12-06;2021-12-06T16:48:28Z;1467898749980655619;2021-12-06T17:48:06Z;1467913754595803151;2021-12-06T13:35:47Z;1467850258222825482;2021-12-06T19:45:45Z;1467943364771336205
2021-12-02;2021-12-02T20:05:13Z;1466498711241084932;2021-12-02T20:19:24Z;1466502281201913860;2021-12-02T20:37:34Z;1466506851445579778;2021-12-02T21:32:25Z;1466520653629112322
2021-12-01;2021-12-01T03:48:15Z;1465890461017649159;2021-12-01T04:04:39Z;1465894587650686979;2021-12-01T04:20:50Z;1465898662379364358;2021-12-01T06:50:49Z;1465936407390740480
2021-11-28;2021-11-28T19:50:37Z;1465045483055947781;2021-11-28T20:17:18Z;1465052199743102984;2021-11-28T20:20:34Z;1465053021319180289;2021-11-28T21:38:39Z;1465072674238050318
2021-11-28;2021-11-28T19:50:37Z;1465045483055947781;2021-11-28T20:17:18Z;1465052199743102984;2021-11-28T20:20:34Z;1465053021319180289;2021-11-28T21:38:39Z;1465072671218180104
2021-11-26;2021-11-26T23:26:31Z;1464375041538367489;2021-11-26T23:40:25Z;1464378540019924992;2021-11-26T23:42:43Z;1464379120167628804;2021-11-27T00:26:47Z;1464390210213629958
2021-11-25;2021-11-25T16:30:13Z;1463907891107278849;2021-11-25T16:59:47Z;1463915331387375625;2021-11-25T17:01:41Z;1463915806744530947;2021-11-25T17:30:41Z;1463923105898893317
